Gene ID,log2FC,p-value,Significant
RDH13,-0.109906164,0.357999368,No
EHBP1-AS1,0.078223389,0.358061496,No
DNAAF9,-0.101383545,0.358294032,No
RPAIN,0.098901276,0.35836257,No
LINC02804,-0.109862488,0.358384411,No
EFR3A,-0.115317837,0.358463135,No
TTC12,-0.110789972,0.358539569,No
COL9A2,-0.095999046,0.3585664,No
ZNF513,-0.107618175,0.358610623,No
LOC112268412,-0.116503136,0.358707278,No
SEM1,0.111637453,0.358741489,No
PCYOX1,-0.116258985,0.35903195,No
RAD52,0.104003826,0.359049327,No
VGLL4,-0.085705672,0.359073856,No
MCCC1,-0.09164226,0.359075485,No
KCNE5,0.094052101,0.359110783,No
CNTNAP3B,0.111347346,0.359120644,No
FUOM,0.103778223,0.359141137,No
CPM,-0.093423901,0.359351707,No
PLD3,-0.115381448,0.359531909,No
SPAG5,0.112069768,0.359538462,No
P4HTM,-0.107227717,0.359577882,No
NDUFAF7,0.071933148,0.359662308,No
STX5,0.092822506,0.359858181,No
CIP2A,-0.11350055,0.360024214,No
DPF3,0.111332024,0.360063633,No
LINC02361,-0.098268963,0.360087052,No
ZNF219,0.11312786,0.360191896,No
ANXA9,0.101075298,0.360196822,No
GPATCH2,0.106260216,0.360205926,No
SGK1,-0.095094485,0.36035752,No
NUDT16,0.084996299,0.360447525,No
RBM45,-0.093635394,0.36048022,No
GMPS,-0.114194836,0.360559339,No
BSPRY,0.11582469,0.360562681,No
ZNF76,-0.112330006,0.360583234,No
PYGM,-0.092565582,0.360659356,No
ZSWIM5,-0.108302788,0.360663782,No
GET3,0.089876606,0.360827187,No
ABHD1,0.111410357,0.360874618,No
KLRC2,-0.080517601,0.360984436,No
KRBA2,0.116056295,0.361134784,No
PRADC1,0.116408947,0.361228989,No
LOC112268109,-0.1055291,0.361495806,No
ANKFY1,0.107266279,0.361677811,No
ZNF436,-0.116042963,0.36177806,No
PLCXD2,-0.069121501,0.361832056,No
GAB2,0.113949519,0.361836728,No
LOC105375740,-0.116000141,0.361876003,No
METTL4,-0.103105748,0.362204933,No
SH3BP1,-0.115457663,0.362242704,No
GPR37,-0.081216159,0.362302525,No
GTF3C2-AS1,-0.116862231,0.362385597,No
SLC9A6,-0.115571676,0.362435236,No
KTN1,0.118108807,0.362565512,No
LOC102724687,0.094715418,0.362810609,No
LINC01530,0.110536434,0.362884329,No
LOC107984251,0.115603033,0.362980679,No
PRSS35,0.078681945,0.363034561,No
PLA2G4C,-0.077611449,0.363049812,No
TCP10L,0.113041934,0.363085061,No
FOXC1,0.102480314,0.363234663,No
CCZ1P-OR7E38P,0.098515406,0.363238828,No
GABRQ,0.103588637,0.36325536,No
SIPA1L1,-0.116096281,0.363310061,No
GNA15,0.097207776,0.363340613,No
DDX19B,0.112122525,0.36347489,No
RNPEPL1,0.110247846,0.363788616,No
CASQ1,-0.109314944,0.363911839,No
ZNF428,0.107120023,0.363928868,No
GAS6-DT,0.116054524,0.364116199,No
AAAS,0.113762901,0.364229998,No
STAT4,-0.097003293,0.364241366,No
JAKMIP3-AS1,-0.110474278,0.364273988,No
USP32P1,-0.114655358,0.364292754,No
RBM11,-0.111377058,0.364610963,No
LOC107985400,-0.114568685,0.364739558,No
ATAD1,-0.111721923,0.364878804,No
MRPL27,0.114474936,0.364963088,No
ZC3H12A-DT,0.099299632,0.364972257,No
ZSWIM8-AS1,-0.108467787,0.365039141,No
CARMIL2,-0.105712332,0.365050278,No
S100B,0.097911567,0.365054972,No
YPEL3,0.110460842,0.365138367,No
DARS1-AS1,0.113090606,0.365154235,No
PALS1,0.086264503,0.365155833,No
PHYHD1,0.087515858,0.365175489,No
KANK4,0.094497099,0.365338017,No
HP1BP3,-0.116945872,0.365416619,No
THAP11,0.085919489,0.365456697,No
CNTROB,-0.112215695,0.365509983,No
ATF7IP2,-0.115218416,0.365677145,No
C2orf80,-0.103879748,0.365826991,No
ERICH2,0.105528809,0.365876024,No
XKR8,0.108246118,0.365916278,No
ARHGAP36,1.771080598,0.365969616,No
GPRC5B,0.094155895,0.366222761,No
MYL5,0.113312242,0.366238238,No
PLEKHH3,0.113325944,0.366400175,No
PSMC5,0.086046387,0.366431629,No
EXOC3,-0.088126247,0.366625007,No
RRAGB,-0.112577474,0.366643317,No
SLC29A3,0.113152029,0.366704955,No
CCDC47,-0.090792438,0.366714761,No
MINPP1,-0.096236873,0.366839756,No
GRWD1,0.092753932,0.366878891,No
NIFK-AS1,0.112623212,0.366976036,No
JMY,0.101664508,0.366996886,No
TBC1D10A,-0.114285136,0.367020081,No
SLC17A7,-0.111999106,0.367029196,No
SMYD4,-0.099780496,0.367050237,No
CRK,0.092865292,0.367054717,No
S1PR1,0.09200001,0.367129904,No
PCF11-AS1,0.094792337,0.367171472,No
CPTP,-0.109236437,0.367209544,No
NUP42,-0.080442421,0.367246121,No
EXOSC7,0.091678354,0.36729449,No
LSMEM2,0.100075096,0.367365884,No
ZMYM3,-0.105624472,0.367441339,No
ZNF236-DT,0.111155647,0.367444799,No
TTC1,0.065017595,0.367452454,No
LOC101928059,0.113578348,0.367472472,No
SRM,0.113103854,0.367617543,No
ZMYND8,-0.111547033,0.367680505,No
LYRM1,0.088720687,0.367724051,No
GUF1,-0.101643018,0.367779214,No
LRP2BP,0.112736397,0.367779663,No
PHF8,0.096842909,0.367801988,No
TUBGCP4,-0.107888806,0.367862797,No
LOC107984347,0.095054183,0.368032729,No
DHX9,0.077887554,0.368132238,No
LOC401442,-0.090215205,0.368233963,No
LINC00621,-0.086705604,0.368243131,No
LRPPRC,-0.113769738,0.36827842,No
GDF9,0.109644892,0.368356528,No
WDR81,-0.113001154,0.368416057,No
LINC02223,-0.10527708,0.368473752,No
ADM,-0.064868409,0.368532745,No
CRISPLD1,0.111727053,0.368564055,No
UBL7,0.072241902,0.368703866,No
LOC107984298,-0.112708136,0.368720084,No
LOC105372850,0.086382865,0.368720897,No
JPH4,-0.101517357,0.368824775,No
CACUL1,-0.108755622,0.369231947,No
PKN3,0.101125475,0.369296281,No
BRD2,-0.080450923,0.369379718,No
UROD,0.090190188,0.369509413,No
ZBTB14,0.109999658,0.369522655,No
SNORA40,-0.107792933,0.369526154,No
CCT6B,0.10313435,0.369635826,No
ZNF865,0.0896442,0.369652986,No
LOC107987135,-0.079587778,0.369665376,No
PAPOLG,-0.09470291,0.369904095,No
ANKMY2,-0.112070406,0.369920936,No
ACBD7-DCLRE1CP1,0.097055071,0.370089388,No
ZNF14,0.104360071,0.370200722,No
OBI1-AS1,0.110827829,0.370278307,No
WRAP73,0.10852461,0.370311425,No
THAP9-AS1,0.11204307,0.370484028,No
NADK,-0.07908891,0.370514477,No
DEPDC4,0.113858865,0.370590215,No
CFAP70,0.110722956,0.370601531,No
SS18,0.114033,0.37065253,No
PAQR3,0.085692959,0.370660699,No
DIPK2A,0.108781372,0.370710897,No
CDCA3,-0.112842993,0.370780874,No
ARL8B,-0.104477152,0.370791072,No
INHBA-AS1,-0.088114993,0.37082911,No
SHROOM4,-0.09934898,0.370846151,No
LOC101927178,0.080944481,0.37092791,No
ACSF3,0.109871658,0.370933882,No
BCL10,0.110412492,0.370935365,No
SGCZ,-0.113233553,0.370957045,No
DLX5,-0.11378396,0.370981514,No
DTD2,-0.099091672,0.370983885,No
TNFRSF25,0.094316055,0.371021796,No
SPTY2D1,-0.106103068,0.371121756,No
BTBD7,0.112110496,0.371151737,No
CLDN10,0.093196587,0.371190369,No
MIEF2,-0.113932731,0.371350769,No
GOLT1B,-0.096313668,0.371368087,No
NSRP1,0.107968912,0.371556937,No
LOC101929248,-0.110846862,0.371569944,No
PLEKHG2,0.09626847,0.371699786,No
RIOK2,0.08974495,0.371737178,No
ERI2,0.113587066,0.371756758,No
RBBP7,0.066683661,0.3719281,No
FUT2,0.095474677,0.372304423,No
PDGFA,0.111642924,0.372341472,No
LOC105379477,0.105151541,0.372372741,No
PHETA2,0.110869605,0.372411164,No
KCTD18,0.111081592,0.372446269,No
CEP78,0.100854118,0.372557382,No
ITFG2-AS1,0.101503936,0.372645943,No
ZNF653,-0.09950132,0.372670463,No
PITPNA-AS1,0.112345378,0.372676142,No
IFI44L,0.094991777,0.372845139,No
CCDC106,-0.105349915,0.372884914,No
MAFIP,-0.091338703,0.372914795,No
VEGFB,0.103435506,0.372950663,No
NUBPL,-0.109436336,0.373080928,No
LONP1,0.102068472,0.373303133,No
LOC105373299,-0.11331658,0.373323771,No
MLXIPL,0.113149411,0.373336426,No
TSPY26P,-0.108833727,0.373350157,No
EXOC4,-0.096588817,0.373358492,No
GAS6,-0.093665186,0.373508926,No
TRNK,0.078306554,0.373516863,No
ASPA,-0.079510587,0.373587886,No
TERF2,-0.064342667,0.373590737,No
EIF2S1,0.088766172,0.373656173,No
ID2-AS1,0.112614726,0.373737484,No
SMG1P1,-0.113392142,0.373750459,No
C21orf91,-0.086558159,0.373891825,No
CENPVL2,-0.107744629,0.373951235,No
TAGLN3,-0.108811194,0.374023159,No
COLEC12,0.100981397,0.374032686,No
CNOT11,0.074296878,0.37409463,No
AMN,-0.110100748,0.374130628,No
BRWD1,-0.111448892,0.374170356,No
FCHSD2,0.113189266,0.374318536,No
RAD9B,0.091896858,0.37436993,No
CITED4,0.112963086,0.374397473,No
ATAD2B,0.105025345,0.374509872,No
KCNIP4,-0.09780318,0.374583393,No
CSRP1,0.092364491,0.374713624,No
TRIM33,-0.08704892,0.374871473,No
RASSF8-AS1,0.112204909,0.374934495,No
ZNF833P,-0.105901848,0.374963705,No
XYLT2,0.08485309,0.37512754,No
SPIN1,-0.114036518,0.375270931,No
SIMC1,0.105055459,0.375448026,No
KIF26A,-0.111970803,0.375558986,No
CECR2,0.089185176,0.375564492,No
LIPJ,-0.109025322,0.375584795,No
ZNF585A,-0.111620686,0.375656082,No
BTG3-AS1,0.11002721,0.375659609,No
C9orf40,-0.093060659,0.375677424,No
GPR137,0.112819125,0.37568199,No
CCDC110,-0.109587751,0.37595794,No
FAM241B,-0.10899564,0.376054149,No
EHMT2,0.074589463,0.376108631,No
GRK2,0.080351708,0.376117024,No
TSNAX,-0.106254821,0.376178302,No
THSD4-AS1,-0.112789164,0.376226173,No
GSPT1,0.080075889,0.376274346,No
KIAA2012,-0.101894305,0.376329128,No
LARS1,0.081893414,0.376496,No
PCDHB18P,0.109373431,0.376503903,No
TMEM267,0.091049921,0.376530705,No
FAHD1,0.105502674,0.376752912,No
LOC105378980,0.095756753,0.377003187,No
SURF6,-0.074041472,0.377065628,No
CCBE1,0.101531819,0.377113974,No
CNN3-DT,0.111429129,0.377314792,No
GFM2,-0.108601368,0.377387219,No
ZFPL1,0.101225114,0.377474169,No
STKLD1,-0.111147631,0.377485845,No
MIR4680,0.105684442,0.377619417,No
ZNF416,0.102573482,0.377694084,No
AKAP13,-0.109950435,0.377916162,No
MDN1-AS1,-0.09725871,0.378195948,No
LOC107985388,0.106225186,0.378278136,No
PTPN14,0.112135268,0.378489771,No
AKT1S1,0.111335954,0.378649491,No
SYCP2,0.10993085,0.378705524,No
SRL,-0.099621756,0.37879643,No
BAG1,-0.097511116,0.379000787,No
MAP7,-0.108986377,0.379144363,No
MVK,-0.111392363,0.3791868,No
HDAC3,-0.110601425,0.379217636,No
ARHGAP24,-0.096464087,0.379261381,No
ZNF137P,0.091107589,0.379420287,No
ZNF571,0.110818843,0.37942645,No
NOL11,0.088131298,0.379493239,No
MMP2,-0.109557451,0.379549546,No
LOC102724055,-0.101414635,0.37955663,No
KCNJ16,-0.087584276,0.379768692,No
TNR,-0.109134319,0.379794587,No
C15orf61,-0.088161373,0.379892434,No
SLC37A2,0.086337565,0.380166114,No
CDH7,-0.086198699,0.380196694,No
UAP1L1,-0.104689689,0.380273135,No
SELENOO,-0.099657681,0.380285888,No
UTP14C,-0.108388273,0.380381674,No
ZNF177,0.102070763,0.380413441,No
TMEM130,-0.103596041,0.380433702,No
CKAP5,-0.102654479,0.380437752,No
LIMD1,0.109940412,0.380489527,No
RASSF7,-0.109842868,0.380534429,No
PIK3R5,0.068428433,0.380551305,No
ITGA5,0.089156115,0.380661933,No
OMG,-0.106563037,0.380883272,No
MTPAP,0.071235815,0.381120193,No
NHP2,0.084985636,0.381194159,No
ID1,0.085449886,0.381214807,No
RNF128,-0.107720385,0.381241379,No
PLD4,-0.110540962,0.381256625,No
NEDD8,0.085851575,0.381542373,No
CERS1,0.103042849,0.381593181,No
DNAJA2,-0.09292014,0.381842,No
ANKRD40,0.102970856,0.382174958,No
GRIP2,-0.108789034,0.382191541,No
MRPL46,0.105986017,0.382227116,No
THEMIS2,-0.100482149,0.382241146,No
GADD45GIP1,0.10900362,0.382302962,No
HERC6,-0.109439126,0.382331243,No
ZNF451,-0.095363116,0.382588382,No
ERV3-1-ZNF117,0.106843133,0.382670489,No
LOC105373302,-0.110873258,0.382717351,No
EIPR1,-0.088843065,0.382762348,No
SPAG17,0.109964006,0.382863799,No
CTXN3,-0.075379931,0.382886061,No
LOC102724770,0.110694794,0.382919014,No
EIF5B,0.112390494,0.383210884,No
PTCD3,0.101651078,0.383214121,No
ZNF561-AS1,0.109807706,0.383255372,No
ATP5F1C,-0.086806889,0.383277931,No
WDR70,-0.09916184,0.3832791,No
NDUFB5,0.072084181,0.38329213,No
SRP68,0.079739435,0.383368538,No
MRPL33,0.106201316,0.383391628,No
VPS9D1-AS1,-0.108192819,0.38339458,No
KIF16B,0.104332466,0.38346962,No
NKD1,-0.109709847,0.383665478,No
WASH2P,-0.10864484,0.383696022,No
HTRA2,0.090369889,0.383742907,No
MRPL21,0.108522318,0.383827899,No
TMEM44,-0.10886187,0.383838312,No
EIF3B,0.086153899,0.384030604,No
MTA3,-0.102313513,0.384077214,No
NECAB2,-0.104894164,0.384198497,No
NHLH1,0.099743002,0.384199986,No
TRIM13,0.106118647,0.38421079,No
PDAP1,0.071497023,0.384227757,No
GRIK5,-0.095935741,0.384284347,No
ALPK1,0.103598287,0.384676631,No
MEGF6,-0.102210267,0.384923641,No
ZNF430,0.108678304,0.384942935,No
PDXP,-0.096504214,0.385147193,No
PSMD6,-0.061613724,0.385456644,No
SLCO2B1,-0.108416537,0.385519036,No
DENND2A,0.10809212,0.385614492,No
KIF11,-0.110301771,0.385993734,No
NECTIN3,-0.106697962,0.386009408,No
GTF2H2B,-0.108823372,0.38617156,No
SLF2,0.107390326,0.386180882,No
ZFHX3,0.109476252,0.386261111,No
NUP153,-0.105304031,0.38636497,No
PDP2,-0.089895307,0.386444845,No
CMC1,0.101264264,0.386490071,No
BLTP3A,-0.109159428,0.386569346,No
PPP2R5D,-0.100291379,0.386700157,No
HBEGF,-0.09315146,0.386734887,No
NME5,-0.109643249,0.386748371,No
DLGAP4,-0.09496165,0.386820336,No
UQCC4,-0.094285916,0.386886874,No
WWOX,0.108532767,0.386913457,No
PLPPR3,0.090534258,0.387041029,No
JHY,0.10876532,0.387056389,No
IRAG2,-0.103753403,0.38708215,No
HDDC2,0.109952025,0.387085506,No
DUSP14,-0.107931498,0.387151637,No
PRR36,0.096386613,0.387201102,No
KIT,-0.098414396,0.38735959,No
MRPL22,0.090964884,0.387392379,No
CAVIN1,0.097447993,0.387419555,No
PDE8B,-0.104158198,0.387579961,No
LOC105370525,0.057949023,0.387708847,No
CSNK1G3,-0.10418671,0.387778542,No
FSTL5,-0.095668745,0.387974658,No
IQSEC3,-0.100283808,0.388008228,No
FAAP20,-0.108040847,0.388039143,No
MX1,0.10951928,0.388087541,No
VIPAS39,0.096933221,0.388117384,No
ZBTB3,-0.108704378,0.388128616,No
ABHD17A,0.110703758,0.38813532,No
ZNF33B,-0.104939711,0.388175875,No
LRRC37A,0.108764327,0.388495805,No
ZNF672,0.104998711,0.388582201,No
CFAP61,-0.106840612,0.388796058,No
GLUD1,0.10162544,0.388882091,No
ALG11,-0.10433627,0.388938319,No
SNAPC5,-0.106408938,0.389134971,No
TVP23C,0.099430994,0.389219583,No
CSNK2A3,-0.108847669,0.389348663,No
ATP5PF,0.097387017,0.389360431,No
PEMT,0.106082967,0.389516741,No
ZCWPW1,0.106936249,0.389690265,No
COL1A2,0.098497045,0.3897486,No
INPP1,-0.095865986,0.390042588,No
IGIP,-0.098210599,0.390080775,No
INTS4,0.106374901,0.390160142,No
PCDHGB6,0.109059678,0.390189155,No
ZNF527,-0.089097793,0.390261676,No
ORAI1,0.103594037,0.39029076,No
LSM12,0.088689462,0.3903953,No
WDR20,-0.096878893,0.390559949,No
LOC112268244,0.109038077,0.39060991,No
DLL3,0.108716551,0.390620012,No
LINC00488,-0.079508376,0.390671284,No
GEMIN8,0.096391863,0.390736716,No
UHRF2,0.108973858,0.390824117,No
BEND3,0.10560988,0.390841235,No
GDF1,0.097912828,0.390939685,No
CCDC82,-0.099855098,0.390943894,No
SLC17A9,0.09700359,0.390974037,No
BOLA3,0.102555625,0.391040314,No
EIF3A,0.085468725,0.391063194,No
EOLA2,-0.082436615,0.391118229,No
RIMBP3,-0.089504939,0.391160178,No
LINC00673,0.107172348,0.391342867,No
TTLL3,0.107757048,0.391343152,No
PGAP6,0.107957545,0.391442977,No
PNPLA5,-0.097779534,0.391710809,No
C6orf226,0.107986183,0.391734216,No
MCRS1,-0.082823588,0.391740969,No
KDM3B,0.087483855,0.391872331,No
NDUFA7,0.104077228,0.392026393,No
ERCC5,0.068679069,0.392030951,No
PAXX,0.102084365,0.392042562,No
B4GALT1-AS1,0.107578195,0.392083399,No
ZC3H12D,-0.10335077,0.392109781,No
PXMP4,-0.090686952,0.392144046,No
MAST2,0.089727909,0.392175893,No
SNED1,-0.099008371,0.3922279,No
SIGIRR,0.100691813,0.392353252,No
SH3BGRL3,0.106201203,0.392500017,No
ZNHIT6,0.096359531,0.392571872,No
TELO2,0.090601764,0.392572465,No
SNX9,-0.081383919,0.392584486,No
CLN6,-0.099590898,0.392679384,No
LOC375196,-0.105314472,0.392729013,No
GOLGA8N,-0.106747732,0.39277002,No
DHRS12,-0.107855446,0.392849156,No
LINC02371,-0.104382159,0.392925851,No
ECHS1,0.099126519,0.393144329,No
LOC105378539,-0.103811233,0.393182956,No
TTLL12,0.100654757,0.393210833,No
KANK2,0.106837431,0.393223771,No
CRLF1,0.086584987,0.393232719,No
CDC123,-0.077156185,0.393281717,No
RIMS2,-0.104174729,0.393346622,No
BAK1,0.107648774,0.393360515,No
LOC105369782,-0.075877286,0.393387782,No
NEBL-AS1,0.108183635,0.39344123,No
PDCD2,-0.095549578,0.393698567,No
MAPKAPK3,0.088882907,0.393824093,No
SAMSN1,0.078331241,0.39395162,No
ARNT,-0.074818038,0.393981954,No
EDF1,0.095313752,0.393990056,No
SLC35A1,-0.089137323,0.394024392,No
DDRGK1,-0.108535279,0.394064693,No
PPP1R2,-0.106552372,0.394211959,No
LOC101927078,-0.099251957,0.394388385,No
GLB1L3,-0.107413314,0.394690546,No
SIPA1L1-AS1,-0.106315402,0.394732924,No
PCDHGC4,-0.099998217,0.394827167,No
NFKBID,-0.086864737,0.394999641,No
SAR1B,0.104068605,0.395138141,No
DHTKD1,0.100187778,0.39543466,No
LINC01181,0.10558936,0.395518052,No
HARBI1,-0.105582537,0.395536335,No
LOC101927872,-0.104758138,0.395616332,No
CRTC3,0.106592595,0.395640202,No
ZNF615,-0.086830793,0.395765306,No
ZNF483,0.103592503,0.395906187,No
DYNC1I2,0.103458453,0.396005626,No
SNX18,0.107378389,0.396015895,No
MAML1,-0.101998272,0.396102993,No
CCDC146,-0.106933684,0.396128548,No
SEC23A,-0.106001173,0.396503426,No
RHOT1,-0.094438809,0.396541226,No
SAMD10,-0.104005801,0.396586879,No
LYRM4-AS1,0.094886987,0.396611636,No
DEF6,0.098617989,0.396702037,No
LSM3,0.094301231,0.396746638,No
UPF3B,0.088640493,0.396765707,No
INAVA,0.085713962,0.396833916,No
LOC105373422,0.082461643,0.397068226,No
GCDH,0.105381018,0.397209606,No
SLC5A3,0.105399219,0.397481239,No
APLF,-0.104214121,0.397602377,No
CCDC169-SOHLH2,0.094559505,0.397724128,No
SLC25A51,0.104885148,0.397773295,No
GTPBP1,0.086684888,0.397865973,No
DEAF1,0.103439903,0.397916783,No
MALT1,0.092374243,0.398103005,No
SLC35F6,-0.090124382,0.398125761,No
GSTM4,0.098372769,0.398213783,No
KRAS,-0.106312372,0.398253193,No
CARTPT,-0.090435982,0.398342193,No
MIR1182,0.091290425,0.398387098,No
GARS1-DT,-0.104044285,0.398429946,No
NUDT21,-0.106385405,0.398521089,No
FOXD1,-0.071523064,0.39856896,No
ABTB2,0.092514603,0.398846132,No
TMEM144,-0.073129396,0.398848026,No
CLPB,-0.101224475,0.39886562,No
WDR24,0.098863498,0.398890367,No
ARRDC4,0.106458361,0.399077722,No
MIR636,-0.106364011,0.399107243,No
PGGT1B,0.102576345,0.399287946,No
AQP12B,-0.098907304,0.399372736,No
TMEM245,-0.102459217,0.399384167,No
SLC25A3,-0.077414135,0.399420242,No
BABAM2,-0.096951343,0.399460151,No
ANKRD20A5P,-0.090091866,0.399474313,No
ZNF571-AS1,-0.099768606,0.399485704,No
EPSTI1,-0.097723374,0.399503813,No
SHF,0.085181732,0.399571531,No
CDR2L,-0.101791356,0.399599314,No
CERCAM,-0.082734476,0.399636429,No
C19orf47,0.10071833,0.399723515,No
CFAP210,0.086902661,0.399744517,No
BET1L,0.089479191,0.39979357,No
PGBD1,-0.10126289,0.399886014,No
MTRES1,0.104443466,0.400104252,No
MYCL,0.103626507,0.400115849,No
SGMS1-AS1,-0.099430658,0.400166528,No
RAB4A-AS1,-0.104923007,0.400367542,No
HDAC8,-0.09157401,0.400724992,No
NUDT7,0.105502318,0.400834293,No
LOC107984210,0.102208841,0.400836008,No
WDR59,-0.068545464,0.400917454,No
PIM2,-0.106246611,0.401016498,No
UFC1,0.091578433,0.401065591,No
AQP11,0.101482227,0.401125366,No
GPD2,0.104536862,0.401349261,No
ZNF285,0.101648605,0.401391657,No
IFT140,0.068361672,0.401428987,No
FILIP1L,-0.096107158,0.40147777,No
IQCJ-SCHIP1,-0.094022727,0.401653489,No
C1QTNF3,0.096794279,0.40172995,No
ASTE1,-0.083383723,0.40186362,No
TEKT4P2,-0.079631695,0.401983928,No
DKFZP586I1420,-0.105605244,0.402101699,No
PCM1,-0.094158674,0.402143908,No
UBASH3B,-0.089261765,0.402162297,No
WHRN,0.097654443,0.402175237,No
LOC112268151,-0.09162862,0.402328011,No
FXYD6-FXYD2,-0.100782339,0.402364644,No
NUP188,0.086520101,0.402532794,No
GXYLT2,0.105977196,0.402565439,No
RELN,-0.077329095,0.402802695,No
STARD10,0.102816067,0.402855177,No
ILRUN,0.09902832,0.40290904,No
HPN,-0.071967942,0.403004938,No
KIF1A,-0.082490748,0.403181063,No
UBP1,-0.105727555,0.403211672,No
PINX1,0.088749606,0.403301012,No
LOC105375489,-0.103524905,0.403375886,No
ZNF420,0.091771999,0.403401897,No
TPGS1,-0.098258715,0.403489495,No
MRPS23,-0.103496895,0.403514915,No
RNF216,0.071946552,0.403632561,No
CDH13,0.093546436,0.403729769,No
BLNK,0.087477049,0.403868123,No
CHKB,-0.103093367,0.403900106,No
LOXL3,0.102840918,0.403973235,No
TMEM275,-0.074854683,0.404034055,No
CASTOR2,0.106106041,0.404042095,No
SYVN1,-0.098216543,0.404223134,No
NUP50,-0.105694544,0.4042239,No
MIR4697HG,-0.105528145,0.404274614,No
PTGS1,0.085824517,0.404430048,No
ME3-DT,0.105147335,0.404437109,No
LOC107986669,-0.086857146,0.404650398,No
ACADM,0.101492978,0.404926199,No
MYL12-AS1,0.082498855,0.404997651,No
DHX30,-0.093892244,0.405057724,No
PCOLCE2,0.097825335,0.405092071,No
FGF1,0.089987466,0.405158552,No
SKA2,0.105840479,0.405175821,No
U2AF2,0.055870935,0.405186391,No
UBE2Q1,-0.064472246,0.405207989,No
WRAP53,0.102938849,0.40536355,No
LYPD5,0.105142983,0.405381323,No
FAM107B,-0.079465879,0.405399851,No
LOC100272217,0.091547072,0.405486897,No
LRP1B,-0.103075677,0.405806887,No
ACIN1,0.097653398,0.40582805,No
EFHC2,0.105209134,0.4059674,No
ZNF724,-0.098119301,0.406057819,No
ZDHHC1,0.104690805,0.4061018,No
RESP18,0.072616928,0.406223752,No
ND4L,0.105270381,0.40623738,No
ZC3H4,-0.096141169,0.406278227,No
C16orf89,0.08661038,0.406306183,No
CRACDL,-0.10382941,0.40635974,No
MIR4444-1,-0.102004473,0.406463821,No
NUDT17,0.100575126,0.406597092,No
LIPE-AS1,-0.102444265,0.406615242,No
BORCS7,0.101726586,0.406640194,No
CDR1,0.099185015,0.406641598,No
MRPL49,0.085689978,0.406789775,No
ZNF100,0.101550041,0.40681536,No
PRRC2C,-0.096152721,0.406861271,No
AFG1L,0.101803782,0.406928457,No
ARHGAP28,-0.093654722,0.407005846,No
LOC101928864,-0.105160163,0.407244178,No
DCT,0.104925339,0.407382676,No
LOC101926935,0.088603674,0.407393842,No
NUP153-AS1,-0.104060063,0.407471423,No
KIAA1614-AS1,0.103172272,0.407560451,No
TNFRSF10B,0.103284329,0.407661163,No
HNRNPLL,0.095365886,0.407718678,No
COX7A2,0.09489176,0.40783417,No
PLK3,-0.103951958,0.407859256,No
GNA11,0.08825765,0.4078888,No
ABCF2-H2BK1,-0.097389703,0.408016499,No
PKP4,0.130381538,0.40803602,No
PER1,-0.103254576,0.408075618,No
FBXW11,0.074067521,0.408175878,No
C9orf47,0.104416042,0.408181178,No
RGL4,0.093374704,0.408356889,No
BAP1,0.096178551,0.408369768,No
HENMT1,-0.104010448,0.408515559,No
ZNF880,0.087505625,0.40851831,No
FAM86FP,-0.102944232,0.408592075,No
DUSP15,0.094278058,0.408624635,No
PRCC,-0.063181795,0.408781226,No
SLC25A23,-0.102392813,0.408843665,No
CRADD,0.090661791,0.408898915,No
SPATA41,-0.103735074,0.408965991,No
FAM185BP,-0.104429099,0.409028943,No
NPM3,-0.103182465,0.409223926,No
TXNDC15,-0.087807253,0.40924439,No
SNF8,0.097284102,0.40929806,No
HCCS,-0.103360315,0.409400577,No
HEXD,-0.092536181,0.40960655,No
SLC30A7,-0.092249887,0.409616453,No
RAB11FIP5,-0.102269256,0.409656262,No
SYT14,-0.101596699,0.409845898,No
EDEM2,0.100599819,0.409847287,No
TEK,0.102799544,0.409929343,No
ATG4C,-0.101249115,0.409986396,No
